time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0098,-124.1656,-124.1666,-124.1696,-124.1746,-124.1816,-124.1905,-124.2015,-124.2144,-124.2293
0.01,-118.6362,-118.6373,-118.6407,-118.6463,-118.6543,-118.6645,-118.6769,-118.6916,-118.7085
0.0102,-112.6385,-112.6398,-112.6436,-112.6499,-112.6588,-112.6703,-112.6842,-112.7007,-112.7197
0.0104,-106.1963,-106.1977,-106.202,-106.209,-106.2189,-106.2316,-106.2471,-106.2655,-106.2866
0.0106,-99.335,-99.3366,-99.3412,-99.349,-99.3599,-99.3739,-99.391,-99.4112,-99.4345
0.0108,-92.0817,-92.0834,-92.0885,-92.097,-92.1089,-92.1242,-92.1429,-92.165,-92.1905
0.011,-84.4649,-84.4668,-84.4723,-84.4816,-84.4945,-84.5112,-84.5315,-84.5555,-84.5831
0.0112,-76.5148,-76.5168,-76.5228,-76.5328,-76.5468,-76.5647,-76.5866,-76.6125,-76.6424
0.0114,-68.2628,-68.2649,-68.2714,-68.2821,-68.297,-68.3163,-68.3398,-68.3676,-68.3996
0.0116,-59.7413,-59.7436,-59.7505,-59.7619,-59.7779,-59.7984,-59.8235,-59.8531,-59.8872
0.0118,-50.9841,-50.9865,-50.9938,-51.0059,-51.0229,-51.0446,-51.0713,-51.1027,-51.1389
0.012,-42.0257,-42.0282,-42.0359,-42.0487,-42.0666,-42.0896,-42.1177,-42.1508,-42.1891
0.0122,-32.9014,-32.9041,-32.9121,-32.9256,-32.9444,-32.9685,-32.998,-33.0329,-33.073
0.0124,-23.6472,-23.6501,-23.6585,-23.6725,-23.6922,-23.7174,-23.7483,-23.7847,-23.8267
0.0126,-14.2998,-14.3027,-14.3115,-14.3261,-14.3466,-14.3728,-14.4049,-14.4429,-14.4866
0.0128,-4.8959,-4.8989,-4.908,-4.9231,-4.9443,-4.9716,-5.0048,-5.0441,-5.0894
0.013,4.5273,4.5242,4.5148,4.4992,4.4773,4.4493,4.4149,4.3744,4.3277
0.0132,13.9327,13.9295,13.9199,13.9038,13.8814,13.8525,13.8173,13.7756,13.7277
0.0134,23.2831,23.2798,23.2699,23.2535,23.2306,23.2011,23.165,23.1225,23.0734
0.0136,32.5415,32.5382,32.5282,32.5115,32.4881,32.4581,32.4214,32.3781,32.3282
0.0138,41.6716,41.6682,41.6581,41.6411,41.6175,41.587,41.5499,41.506,41.4554
0.014,50.6372,50.6338,50.6235,50.6065,50.5826,50.5519,50.5144,50.4702,50.4192
0.0142,59.4029,59.3995,59.3892,59.3721,59.3481,59.3174,59.2797,59.2353,59.1842
0.0144,67.9343,67.9308,67.9206,67.9035,67.8795,67.8488,67.8113,67.7669,67.7158
0.0146,76.1975,76.1941,76.1839,76.1669,76.1431,76.1126,76.0753,76.0313,75.9805
0.0148,84.16,84.1566,84.1465,84.1298,84.1063,84.0762,84.0393,83.9958,83.9457
0.015,91.7903,91.787,91.7771,91.7607,91.7377,91.7081,91.6719,91.6292,91.58
0.0152,99.0584,99.0552,99.0456,99.0295,99.0071,98.9782,98.943,98.9014,98.8534
0.0154,105.9356,105.9325,105.9231,105.9076,105.8859,105.858,105.8239,105.7836,105.7372
0.0156,112.3947,112.3917,112.3827,112.3678,112.347,112.3202,112.2874,112.2488,112.2042
0.0158,118.4102,118.4073,118.3988,118.3846,118.3648,118.3393,118.3082,118.2714,118.229
0.016,123.9584,123.9557,123.9477,123.9344,123.9157,123.8917,123.8624,123.8278,123.788
0.0162,129.0174,129.0149,129.0074,128.9951,128.9777,128.9555,128.9283,128.8961,128.8591
0.0164,133.5672,133.5649,133.5581,133.5468,133.531,133.5106,133.4857,133.4563,133.4224
0.0166,137.5899,137.5878,137.5817,137.5716,137.5574,137.5391,137.5168,137.4904,137.46
0.0168,141.0696,141.0678,141.0625,141.0536,141.0412,141.0252,141.0057,140.9826,140.956
0.017,143.9925,143.991,143.9865,143.979,143.9685,143.955,143.9386,143.9191,143.8966
0.0172,146.3472,146.346,146.3424,146.3364,146.328,146.3172,146.3039,146.2883,146.2702
0.0174,148.1243,148.1234,148.1208,148.1163,148.1102,148.1022,148.0924,148.0809,148.0676
0.0176,149.3168,149.3163,149.3146,149.3119,149.3081,149.3031,149.2971,149.2899,149.2816
0.0178,149.9201,149.9199,149.9193,149.9183,149.917,149.9152,149.9131,149.9105,149.9074
0.018,149.9317,149.9318,149.9324,149.9333,149.9345,149.9361,149.938,149.9402,149.9427
0.0182,149.3515,149.3521,149.3538,149.3566,149.3606,149.3657,149.3718,149.379,149.3873
0.0184,148.182,148.183,148.1859,148.1907,148.1975,148.2062,148.2167,148.2292,148.2434
0.0186,146.4276,146.429,146.4332,146.4401,146.4498,146.4622,146.4773,146.4951,146.5156
0.0188,144.0954,144.0972,144.1026,144.1117,144.1244,144.1406,144.1604,144.1838,144.2106
0.019,141.1945,141.1967,141.2035,141.2147,141.2305,141.2506,141.2753,141.3042,141.3375
0.0192,137.7363,137.739,137.7471,137.7606,137.7794,137.8036,137.8331,137.8679,137.9078
0.0194,133.7346,133.7377,133.7472,133.7629,133.7849,133.8132,133.8476,133.8882,133.9349
0.0196,129.2051,129.2087,129.2195,129.2375,129.2627,129.2951,129.3345,129.381,129.4344
0.0198,124.1656,124.1697,124.1819,124.2022,124.2306,124.2671,124.3115,124.3639,124.4242
0.02,118.6362,118.6407,118.6543,118.6769,118.7085,118.7491,118.7986,118.8569,118.924
0.0202,112.6385,112.6435,112.6584,112.6833,112.7181,112.7628,112.8173,112.8815,112.9554
0.0204,106.1963,106.2017,106.218,106.2452,106.2832,106.3319,106.3913,106.4614,106.5419
0.0206,99.335,99.3409,99.3585,99.3879,99.429,99.4817,99.546,99.6218,99.7089
0.0208,92.0817,92.088,92.1069,92.1385,92.1826,92.2392,92.3083,92.3897,92.4833
0.021,84.4649,84.4717,84.4919,84.5256,84.5726,84.6331,84.7068,84.7936,84.8935
0.0212,76.5148,76.522,76.5434,76.5792,76.6291,76.6932,76.7714,76.8635,76.9695
0.0214,68.2628,68.2703,68.293,68.3306,68.3833,68.4509,68.5334,68.6306,68.7424
0.0216,59.7413,59.7493,59.773,59.8125,59.8678,59.9388,60.0253,60.1273,60.2447
0.0218,50.9841,50.9924,51.0172,51.0585,51.1162,51.1903,51.2807,51.3872,51.5098
0.022,42.0257,42.0343,42.0601,42.103,42.163,42.24,42.334,42.4447,42.5721
0.0222,32.9014,32.9103,32.937,32.9814,33.0435,33.1232,33.2205,33.3351,33.4669
0.0224,23.6472,23.6564,23.6839,23.7297,23.7937,23.8759,23.9761,24.0942,24.23
0.0226,14.2998,14.3092,14.3374,14.3844,14.4501,14.5344,14.6372,14.7584,14.8978
0.0228,4.8959,4.9055,4.9343,4.9823,5.0495,5.1356,5.2407,5.3645,5.507
0.023,-4.5273,-4.5176,-4.4882,-4.4394,-4.371,-4.2834,-4.1764,-4.0504,-3.9054
0.0232,-13.9327,-13.9228,-13.893,-13.8435,-13.7743,-13.6854,-13.577,-13.4493,-13.3023
0.0234,-23.2831,-23.273,-23.243,-23.1931,-23.1232,-23.0335,-22.9241,-22.7951,-22.6468
0.0236,-32.5415,-32.5315,-32.5013,-32.4511,-32.3808,-32.2907,-32.1807,-32.0511,-31.902
0.0238,-41.6716,-41.6615,-41.6313,-41.5811,-41.5108,-41.4205,-41.3105,-41.1807,-41.0315
0.024,-50.6372,-50.6272,-50.5971,-50.547,-50.4769,-50.387,-50.2774,-50.1481,-49.9994
0.0242,-59.4029,-59.393,-59.3631,-59.3135,-59.244,-59.1548,-59.046,-58.9178,-58.7703
0.0244,-67.9343,-67.9244,-67.895,-67.8459,-67.7774,-67.6893,-67.582,-67.4554,-67.3098
0.0246,-76.1975,-76.1878,-76.1589,-76.1107,-76.0434,-75.9569,-75.8515,-75.7272,-75.5842
0.0248,-84.16,-84.1505,-84.1223,-84.0752,-84.0095,-83.925,-83.822,-83.7006,-83.5609
0.025,-91.7903,-91.7812,-91.7537,-91.7081,-91.6442,-91.5622,-91.4622,-91.3442,-91.2086
0.0252,-99.0584,-99.0496,-99.0231,-98.9791,-98.9174,-98.8383,-98.7418,-98.628,-98.4971
0.0254,-105.9356,-105.9271,-105.9018,-105.8596,-105.8005,-105.7248,-105.6323,-105.5233,-105.3978
0.0256,-112.3947,-112.3866,-112.3625,-112.3224,-112.2663,-112.1943,-112.1065,-112.0028,-111.8836
0.0258,-118.4102,-118.4026,-118.3799,-118.3422,-118.2893,-118.2215,-118.1388,-118.0412,-117.9288
0.026,-123.9584,-123.9513,-123.9302,-123.895,-123.8458,-123.7826,-123.7055,-123.6145,-123.5098
0.0262,-129.0174,-129.0109,-128.9914,-128.9591,-128.9138,-128.8556,-128.7847,-128.7009,-128.6045
0.0264,-133.5672,-133.5613,-133.5437,-133.5144,-133.4734,-133.4207,-133.3563,-133.2804,-133.193
0.0266,-137.5899,-137.5847,-137.569,-137.543,-137.5065,-137.4596,-137.4024,-137.3349,-137.2571
0.0268,-141.0696,-141.065,-141.0515,-141.0289,-140.9973,-140.9567,-140.9071,-140.8485,-140.7809
0.027,-143.9925,-143.9887,-143.9774,-143.9585,-143.932,-143.898,-143.8564,-143.8073,-143.7506
0.0272,-146.3472,-146.3442,-146.3352,-146.3201,-146.2991,-146.272,-146.2389,-146.1997,-146.1544
0.0274,-148.1243,-148.1221,-148.1155,-148.1046,-148.0892,-148.0694,-148.0451,-148.0163,-147.983
0.0276,-149.3168,-149.3155,-149.3114,-149.3047,-149.2952,-149.283,-149.2679,-149.2499,-149.229
0.0278,-149.9201,-149.9196,-149.9182,-149.9158,-149.9125,-149.908,-149.9025,-149.8958,-149.8878
0.028,-149.9317,-149.9321,-149.9334,-149.9355,-149.9385,-149.9421,-149.9464,-149.9513,-149.9566
0.0282,-149.3515,-149.3529,-149.357,-149.3638,-149.3732,-149.3851,-149.3995,-149.4163,-149.4352
0.0284,-148.182,-148.1843,-148.1912,-148.2027,-148.2188,-148.2392,-148.2639,-148.2928,-148.3257
