time(s),10ms,40ms,70ms,100ms
0.0436,-16.0355,27.6286,54.6547,69.5328
0.044,-34.6308,8.6493,35.7144,50.6566
0.0444,-52.6512,-9.7532,17.3487,32.3541
0.0448,-69.8136,-27.2959,-0.1592,14.9085
0.0452,-85.8484,-43.709,-16.5396,-1.4106
0.0456,-100.5038,-58.7406,-31.5406,-16.3513
0.046,-113.5497,-72.1607,-44.9321,-29.6834
0.0464,-124.7812,-83.7644,-56.5091,-41.2019
0.0468,-134.0222,-93.3753,-66.0955,-50.7307
0.0472,-141.1279,-100.8488,-73.5462,-58.1247
0.0476,-145.9869,-106.0734,-78.75,-63.2727
0.048,-148.5236,-108.9734,-81.631,-66.0988
0.0484,-148.6987,-109.5095,-82.15,-66.5638
0.0488,-146.5101,-107.6796,-80.3049,-64.6656
0.0492,-141.9932,-103.5191,-76.1309,-60.4393
0.0496,-135.2199,-97.0998,-69.6998,-53.9568
0.05,-126.2976,-88.5291,-61.1191,-45.3256
0.0504,-115.3677,-77.9484,-50.5301,-34.6869
0.0508,-102.6032,-65.5307,-38.1058,-22.2137
0.0512,-88.2061,-51.4778,-24.048,-8.1079
0.0516,-72.4038,-36.0174,-8.5843,7.403
0.052,-55.4463,-19.3992,8.0356,24.0693
0.0524,-37.6013,-1.8912,25.5438,41.623
0.0528,-19.151,16.2248,43.6583,59.7823
0.0532,-0.3867,34.6572,62.0878,78.2557
0.0536,18.3952,53.1098,80.5358,96.7469
0.054,36.898,71.2857,98.7058,114.9593
0.0544,54.8295,88.8929,116.3056,132.6006
0.0548,71.9065,105.6481,133.0519,149.3878
0.0552,87.8592,121.2816,148.6751,165.051
0.0556,102.4358,135.5414,162.9232,179.3385
0.056,115.4059,148.1973,175.5661,192.0199
0.0564,126.5646,159.0443,186.3988,202.8904
0.0568,135.7357,167.9063,195.245,211.7737
0.0572,142.7742,174.6381,201.9598,218.5248
0.0576,147.5687,179.1285,206.4319,223.0325
0.058,150.0433,181.3016,208.5854,225.2209
0.0584,150.1588,181.118,208.381,225.0507
0.0588,147.913,178.5757,205.8166,222.5197
0.0592,143.3411,173.7097,200.9274,217.6633
0.0596,136.5149,166.5919,193.7853,210.5531
0.06,127.5418,157.3298,184.4975,201.2968
0.0604,116.5632,146.0645,173.2056,190.0355
0.0608,103.7518,132.969,160.0822,176.9422
0.0612,89.3096,118.2451,145.3294,162.2186
0.0616,73.4641,102.1204,129.1746,146.0925
0.062,56.465,84.8445,111.8676,128.8135
0.0624,38.5801,66.6852,93.6762,110.6495
0.0628,20.0914,47.9246,74.8824,91.8823
0.0632,1.2902,28.8538,55.7775,72.8034
0.0636,-17.5271,9.7694,36.6579,53.7092
0.064,-36.064,-9.0323,17.8201,34.8962
0.0644,-54.0282,-27.2589,-0.4436,16.6566
0.0648,-71.1366,-44.6273,-17.8501,-0.7264
0.0652,-87.1195,-60.868,-34.1297,-16.9831
0.0656,-101.7251,-75.7289,-49.0306,-31.8616
0.066,-114.723,-88.9799,-62.3224,-45.1317
0.0664,-125.9085,-100.4162,-73.8003,-56.5886
0.0668,-135.1053,-109.8615,-83.2881,-66.0559
0.0672,-142.1685,-117.1709,-90.6409,-73.3888
0.0676,-146.9868,-122.2331,-95.7473,-78.4759
0.068,-149.4842,-124.9723,-98.5315,-81.2413
0.0684,-149.6217,-125.3492,-98.9541,-81.6458
0.0688,-147.3969,-123.3618,-97.0133,-79.6874
0.0692,-142.8452,-119.0452,-92.744,-75.4011
0.0696,-136.0385,-112.4714,-86.2183,-68.8589
0.07,-127.0841,-103.7477,-77.5435,-60.1682
0.0704,-116.1234,-93.0156,-66.8609,-49.4703
0.0708,-103.3293,-80.448,-54.3436,-36.9381
0.0712,-88.9036,-66.2467,-40.1932,-22.7735
0.0716,-73.074,-50.6393,-24.6375,-7.204
0.072,-56.0902,-33.8756,-7.9261,9.5206
0.0724,-38.22,-16.2236,9.673,27.1324
0.0728,-19.7454,2.035,27.8779,45.3495
0.0732,-0.9578,20.6086,46.3973,63.8805
0.0736,17.8465,39.2009,64.9348,82.4291
0.074,36.3708,57.5153,83.1936,100.6987
0.0744,54.323,75.2595,100.8818,118.3969
0.0748,71.4198,92.1503,117.716,135.2408
0.0752,87.3916,107.9181,133.4266,150.9605
0.0756,101.9865,122.3109,147.7616,165.3042
0.076,114.9742,135.0984,160.4908,178.0416
0.0764,126.1499,146.0758,171.4094,188.9679
0.0768,135.3372,155.0668,180.3411,197.9068
0.0772,142.3913,161.9264,187.1408,204.7133
0.0776,147.2008,166.5433,191.6973,209.2761
0.078,149.6899,168.8416,193.9348,211.5194
0.0784,149.8193,168.782,193.8139,211.4039
0.0788,147.5868,166.3624,191.3325,208.9274
0.0792,143.0277,161.6179,186.5258,204.1252
0.0796,136.2138,154.6205,179.4657,197.0692
0.08,127.2525,145.4775,170.2596,187.8666
0.0804,116.2852,134.3301,159.0487,176.6589
0.0808,103.4847,121.3514,146.0061,163.619
0.0812,89.053,106.7431,131.3335,148.9487
0.0816,73.2175,90.7328,115.2584,132.8755
0.082,56.2281,73.5702,98.0307,115.6493
0.0824,38.3525,55.5231,79.9182,97.5378
0.0828,19.8727,36.8735,61.2027,78.823
0.0832,1.0801,17.9128,42.1758,59.7962
0.0836,-17.729,-1.0628,23.1336,40.7539
0.084,-36.2579,-19.7567,4.3729,21.9926
0.0844,-54.2145,-37.8766,-13.8142,3.8046
0.0848,-71.3156,-55.1394,-31.1445,-13.5271
0.0852,-87.2915,-71.2754,-47.3483,-29.7327
0.0856,-101.8903,-86.0328,-62.1738,-44.5603
0.086,-114.8818,-99.1813,-75.3908,-57.7798
0.0864,-126.0611,-110.5161,-86.7942,-69.1862
0.0868,-135.2519,-119.8609,-96.208,-78.6032
0.0872,-142.3094,-127.0708,-103.4871,-85.8859
0.0876,-147.1221,-132.0345,-108.5203,-90.9231
0.088,-149.6143,-134.6762,-111.2317,-93.6389
0.0884,-149.7466,-134.9565,-111.5821,-93.994
0.0888,-147.5169,-132.8735,-109.5693,-91.9862
0.0892,-142.9606,-128.4623,-105.2285,-87.6508
0.0896,-136.1493,-121.7947,-98.6316,-81.0597
0.09,-127.1906,-112.9783,-89.8861,-72.3203
0.0904,-116.2257,-102.1544,-79.1332,-61.5739
0.0908,-103.4276,-89.4958,-66.5459,-48.9934
0.0912,-88.9981,-75.2045,-52.326,-34.7806
0.0916,-73.1648,-59.508,-36.7012,-19.1632
0.092,-56.1773,-42.656,-19.9211,-2.3909
0.0924,-38.3038,-24.9166,-2.2536,15.2684
0.0928,-19.8259,-6.5715,16.0193,33.5329
0.0932,-1.0351,12.0877,34.6063,52.1111
0.0936,17.7722,30.7648,53.2109,70.7067
0.094,36.2995,49.1631,71.5366,89.023
0.0944,54.2544,66.9904,89.2912,106.7679
0.0948,71.3539,83.9635,106.1914,123.6582
0.0952,87.3284,99.8128,121.9677,139.4242
0.0956,101.9257,114.2862,136.368,153.8139
0.096,114.9158,127.1536,149.1621,166.5972
0.0964,126.0938,138.2101,160.1453,177.5692
0.0968,135.2833,147.2793,169.1411,186.5535
0.0972,142.3395,154.2164,176.0046,193.4054
0.0976,147.1511,158.91,180.6246,198.0133
0.098,149.6421,161.2842,182.9252,200.3016
0.0984,149.7733,161.2998,182.867,200.2308
0.0988,147.5426,158.9547,180.448,197.799
0.0992,142.9852,154.2839,175.7034,193.0412
