time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0204,134.2822,134.276,134.2572,134.2259,134.1821,134.1259,134.0573,133.9764,133.8833
0.0208,121.3468,121.3409,121.3233,121.2939,121.2527,121.1999,121.1355,121.0595,120.9721
0.0212,106.5357,106.5303,106.5142,106.4874,106.4499,106.4018,106.343,106.2738,106.194
0.0216,90.0779,90.0732,90.059,90.0355,90.0026,89.9603,89.9088,89.848,89.7781
0.022,72.2277,72.2238,72.212,72.1924,72.1651,72.1299,72.087,72.0365,71.9784
0.0224,53.2611,53.2581,53.2491,53.2341,53.2132,53.1863,53.1536,53.1149,53.0705
0.0228,33.4712,33.4692,33.4634,33.4536,33.44,33.4225,33.4012,33.3761,33.3471
0.0232,13.1639,13.1631,13.1608,13.1568,13.1512,13.1441,13.1354,13.1252,13.1134
0.0236,-7.3468,-7.3463,-7.345,-7.3427,-7.3395,-7.3354,-7.3303,-7.3244,-7.3176
0.024,-27.744,-27.7422,-27.7368,-27.7279,-27.7154,-27.6993,-27.6797,-27.6567,-27.6301
0.0244,-47.7123,-47.7091,-47.6996,-47.6837,-47.6614,-47.6329,-47.5981,-47.5571,-47.51
0.0248,-66.9431,-66.9385,-66.9247,-66.9016,-66.8694,-66.8281,-66.7776,-66.7183,-66.65
0.0252,-85.1392,-85.1331,-85.115,-85.0847,-85.0424,-84.9881,-84.9219,-84.844,-84.7544
0.0256,-102.0193,-102.0118,-101.9893,-101.9519,-101.8996,-101.8324,-101.7506,-101.6543,-101.5435
0.026,-117.3224,-117.3135,-117.2869,-117.2425,-117.1804,-117.1008,-117.0038,-116.8895,-116.7582
0.0264,-130.8121,-130.8019,-130.7712,-130.7202,-130.6489,-130.5574,-130.4459,-130.3146,-130.1637
0.0268,-142.2798,-142.2683,-142.234,-142.1768,-142.0968,-141.9943,-141.8694,-141.7222,-141.5532
0.0272,-151.5482,-151.5356,-151.4979,-151.4352,-151.3475,-151.235,-151.098,-150.9366,-150.7512
0.0276,-158.4741,-158.4606,-158.42,-158.3525,-158.2581,-158.137,-157.9895,-157.8158,-157.6163
0.028,-162.9505,-162.9362,-162.8932,-162.8218,-162.7219,-162.5938,-162.4377,-162.254,-162.0429
0.0284,-164.9081,-164.8932,-164.8485,-164.7741,-164.6701,-164.5367,-164.3743,-164.1831,-163.9635
0.0288,-164.3167,-164.3015,-164.2556,-164.1794,-164.0728,-163.9362,-163.7698,-163.574,-163.3491
0.0292,-161.1855,-161.1701,-161.1239,-161.047,-160.9395,-160.8018,-160.6341,-160.4367,-160.21
0.0296,-155.5627,-155.5475,-155.5016,-155.4254,-155.3189,-155.1823,-155.016,-154.8203,-154.5956
0.03,-147.5354,-147.5206,-147.4759,-147.4016,-147.2979,-147.1649,-147.0029,-146.8123,-146.5936
0.0304,-137.2277,-137.2135,-137.1708,-137.0999,-137.0008,-136.8738,-136.7191,-136.5372,-136.3284
0.0308,-124.7987,-124.7855,-124.7457,-124.6795,-124.587,-124.4684,-124.3241,-124.1543,-123.9595
0.0312,-110.4408,-110.4287,-110.3926,-110.3325,-110.2485,-110.1409,-110.0098,-109.8557,-109.6789
0.0316,-94.3757,-94.3652,-94.3335,-94.2808,-94.2072,-94.1128,-93.998,-93.863,-93.7081
0.032,-76.8519,-76.8431,-76.8166,-76.7726,-76.7111,-76.6324,-76.5365,-76.4238,-76.2946
0.0324,-58.1401,-58.1333,-58.1128,-58.0786,-58.031,-57.9699,-57.8956,-57.8082,-57.7081
0.0328,-38.5297,-38.525,-38.5111,-38.4879,-38.4556,-38.4141,-38.3637,-38.3043,-38.2363
0.0332,-18.3237,-18.3214,-18.3146,-18.3033,-18.2876,-18.2674,-18.2428,-18.2139,-18.1808
0.0336,2.1655,2.1653,2.1644,2.1631,2.1612,2.1587,2.1558,2.1523,2.1483
0.034,22.6213,22.6184,22.6096,22.595,22.5746,22.5484,22.5166,22.4793,22.4364
0.0344,42.7274,42.7217,42.7047,42.6765,42.637,42.5865,42.525,42.4528,42.3701
0.0348,62.173,62.1646,62.1393,62.0972,62.0385,61.9632,61.8718,61.7643,61.6412
0.0352,80.6577,80.6465,80.6129,80.557,80.4791,80.3792,80.2579,80.1153,79.952
0.0356,97.8956,97.8817,97.84,97.7706,97.6739,97.55,97.3993,97.2224,97.0198
0.036,113.6203,113.6038,113.5543,113.472,113.3572,113.2101,113.0314,112.8216,112.5812
0.0364,127.5887,127.5698,127.513,127.4185,127.2867,127.118,126.9129,126.672,126.3963
0.0368,139.585,139.5638,139.5003,139.3947,139.2473,139.0587,138.8294,138.5603,138.2522
0.0372,149.4237,149.4006,149.3311,149.2156,149.0544,148.8481,148.5974,148.3031,147.9663
0.0376,156.9528,156.9279,156.8533,156.7294,156.5564,156.3351,156.0662,155.7506,155.3895
0.038,162.0558,162.0295,161.9509,161.8202,161.6378,161.4045,161.121,160.7884,160.4078
0.0384,164.6538,164.6266,164.5451,164.4094,164.2203,163.9782,163.6842,163.3393,162.9447
0.0388,164.7068,164.679,164.5957,164.4572,164.2641,164.017,163.7168,163.3647,162.962
0.0392,162.2139,162.186,162.1022,161.963,161.7689,161.5205,161.2189,160.8651,160.4606
0.0396,157.2136,157.186,157.1032,156.9655,156.7735,156.5279,156.2297,155.8801,155.4802
0.04,149.7833,149.7564,149.6759,149.5421,149.3555,149.1168,148.8271,148.4873,148.099
0.0404,140.0377,140.0121,139.9353,139.8077,139.6297,139.4022,139.126,138.8021,138.432
0.0408,128.1275,128.1036,128.032,127.9129,127.7469,127.5346,127.2769,126.9749,126.6298
0.0412,114.2369,114.2151,114.15,114.0418,113.8908,113.6979,113.4637,113.1893,112.8758
0.0416,98.5804,98.5613,98.504,98.4088,98.276,98.1063,97.9004,97.6591,97.3835
0.042,81.4002,81.3841,81.3359,81.2558,81.1441,81.0013,80.828,80.625,80.3933
0.0424,62.9618,62.9491,62.9111,62.8479,62.7599,62.6474,62.5108,62.3509,62.1684
0.0428,43.5502,43.5412,43.5144,43.4699,43.4079,43.3286,43.2324,43.1198,42.9912
0.0432,23.4654,23.4605,23.4457,23.4213,23.3873,23.3438,23.291,23.2292,23.1587
0.0436,3.0179,3.0172,3.0153,3.0121,3.0076,3.0019,2.995,2.9869,2.9777
0.044,-17.4763,-17.4725,-17.4611,-17.4423,-17.416,-17.3824,-17.3416,-17.294,-17.2396
0.0444,-37.7003,-37.692,-37.667,-37.6256,-37.5678,-37.494,-37.4046,-37.2999,-37.1806
0.0448,-57.3416,-57.3287,-57.2901,-57.2259,-57.1364,-57.0222,-56.8838,-56.7218,-56.5371
0.0452,-76.0965,-76.0791,-76.0269,-75.9402,-75.8194,-75.6652,-75.4783,-75.2596,-75.0103
0.0456,-93.6753,-93.6534,-93.588,-93.4794,-93.3281,-93.1349,-92.9008,-92.627,-92.315
0.046,-109.806,-109.78,-109.702,-109.5724,-109.392,-109.1616,-108.8825,-108.5561,-108.1842
0.0464,-124.2395,-124.2095,-124.1197,-123.9705,-123.7629,-123.4977,-123.1766,-122.8011,-122.3733
0.0468,-136.7525,-136.719,-136.6184,-136.4514,-136.2189,-135.9221,-135.5627,-135.1425,-134.6639
0.0472,-147.1518,-147.1151,-147.005,-146.8223,-146.5678,-146.2431,-145.8499,-145.3903,-144.8669
0.0476,-155.2765,-155.2371,-155.119,-154.9229,-154.6499,-154.3015,-153.8797,-153.3868,-152.8256
0.048,-161.0011,-160.9595,-160.835,-160.6283,-160.3405,-159.9733,-159.5287,-159.0094,-158.4182
0.0484,-164.2371,-164.1939,-164.0648,-163.8504,-163.552,-163.1712,-162.7104,-162.1721,-161.5596
0.0488,-164.9344,-164.8903,-164.7585,-164.5397,-164.235,-163.8465,-163.3763,-162.8271,-162.2023
0.0492,-163.0823,-163.038,-162.9055,-162.6856,-162.3795,-161.9891,-161.5167,-160.9652,-160.3378
