time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0332,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0336,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.034,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0344,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0348,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.0352,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0356,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.036,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0364,126.085,126.085,126.085,126.085,126.085,126.085
0.0368,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.0372,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0376,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.038,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0384,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0388,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.0392,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0396,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.04,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0404,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0408,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.0412,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0416,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.042,56.191,56.191,56.191,56.191,56.191,56.191
0.0424,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0428,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.0432,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0436,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.044,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0444,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0448,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.0452,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0456,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.046,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0464,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0468,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.0472,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0476,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.048,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0484,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0488,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.0492,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0496,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.05,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0504,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0508,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.0512,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0516,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.052,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0524,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0528,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.0532,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0536,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.054,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0544,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0548,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.0552,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0556,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.056,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0564,126.085,126.085,126.085,126.085,126.085,126.085
0.0568,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.0572,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0576,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.058,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0584,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0588,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.0592,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0596,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.06,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0604,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0608,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.0612,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0616,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.062,56.191,56.191,56.191,56.191,56.191,56.191
0.0624,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0628,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.0632,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0636,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.064,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0644,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0648,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.0652,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0656,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.066,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0664,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0668,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.0672,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0676,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.068,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0684,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0688,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.0692,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0696,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.07,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0704,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0708,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.0712,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0716,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.072,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0724,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0728,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.0732,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0736,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.074,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0744,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0748,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.0752,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0756,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.076,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0764,126.085,126.085,126.085,126.085,126.085,126.085
0.0768,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.0772,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0776,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.078,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0784,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0788,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.0792,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0796,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.08,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0804,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0808,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.0812,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0816,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.082,56.191,56.191,56.191,56.191,56.191,56.191
0.0824,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0828,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.0832,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0836,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.084,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0844,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0848,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.0852,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0856,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.086,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0864,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0868,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.0872,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0876,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.088,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0884,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0888,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.0892,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0896,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.09,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0904,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0908,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.0912,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0916,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.092,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0924,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0928,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.0932,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0936,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.094,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0944,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0948,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.0952,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0956,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.096,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0964,126.085,126.085,126.085,126.085,126.085,126.085
0.0968,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.0972,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0976,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.098,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0984,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0988,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.0992,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0996,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.1,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.1004,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.1008,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.1012,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.1016,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.102,56.191,56.191,56.191,56.191,56.191,56.191
0.1024,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.1028,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.1032,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.1036,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.104,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.1044,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.1048,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.1052,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.1056,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.106,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.1064,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.1068,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.1072,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.1076,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
