time(s),48.0Hz,48.25Hz,48.5Hz,48.75Hz,49.0Hz,49.25Hz,49.5Hz,49.75Hz,50.0Hz,50.25Hz,50.5Hz,50.75Hz,51.0Hz,51.25Hz,51.5Hz,51.75Hz,52.0Hz
0.0062,-113.4397,-114.3901,-115.3296,-116.2582,-117.1758,-118.0822,-118.9775,-119.8615,-120.7341,-121.5952,-122.4448,-123.2828,-124.1092,-124.9237,-125.7264,-126.5172,-127.2959
0.0064,-119.1495,-120.0595,-120.9574,-121.8431,-122.7164,-123.5774,-124.4259,-125.2618,-126.085,-126.8955,-127.6931,-128.4779,-129.2497,-130.0084,-130.754,-131.4863,-132.2054
0.0066,-124.4259,-125.2877,-126.136,-126.9708,-127.792,-128.5994,-129.3929,-130.1726,-130.9383,-131.6899,-132.4274,-133.1506,-133.8595,-134.5541,-135.2341,-135.8997,-136.5506
0.0068,-129.2497,-130.0554,-130.8462,-131.6222,-132.3831,-133.1289,-133.8595,-134.5749,-135.2749,-135.9594,-136.6285,-137.282,-137.9198,-138.5418,-139.1481,-139.7385,-140.3129
0.007,-133.6034,-134.3451,-135.0706,-135.7797,-136.4725,-137.1487,-137.8083,-138.4513,-139.0776,-139.687,-140.2796,-140.8551,-141.4137,-141.9552,-142.4794,-142.9865,-143.4763
0.0072,-137.4712,-138.1411,-138.7934,-139.4279,-140.0446,-140.6433,-141.2241,-141.7868,-142.3314,-142.8578,-143.3659,-143.8556,-144.327,-144.7799,-145.2143,-145.6301,-146.0273
0.0074,-140.8389,-141.4294,-142.0008,-142.5529,-143.0859,-143.5994,-144.0936,-144.5683,-145.0235,-145.4591,-145.875,-146.2712,-146.6477,-147.0043,-147.3411,-147.658,-147.9549
0.0076,-143.6944,-144.1979,-144.6808,-145.1432,-145.5848,-146.0057,-146.4058,-146.785,-147.1433,-147.4806,-147.7969,-148.0921,-148.3663,-148.6193,-148.8511,-149.0617,-149.251
0.0078,-146.0273,-146.4365,-146.8237,-147.1889,-147.5319,-147.8529,-148.1516,-148.4281,-148.6823,-148.9142,-149.1238,-149.3109,-149.4757,-149.618,-149.7378,-149.8352,-149.9101
0.008,-147.829,-148.1368,-148.4213,-148.6823,-148.9199,-149.1339,-149.3244,-149.4913,-149.6346,-149.7543,-149.8503,-149.9227,-149.9713,-149.9963,-149.9977,-149.9753,-149.9292
