time(s),48.0Hz,48.25Hz,48.5Hz,48.75Hz,49.0Hz,49.25Hz,49.5Hz,49.75Hz,50.0Hz,50.25Hz,50.5Hz,50.75Hz,51.0Hz,51.25Hz,51.5Hz,51.75Hz,52.0Hz
0.0714,-149.2342,-146.6024,-142.1285,-135.8686,-127.9015,-118.3272,-107.2661,-94.8571,-81.2562,-66.6343,-51.1751,-35.0728,-18.5298,-1.754,15.0438,31.6527,47.8637
0.0716,-148.0503,-144.4094,-138.9438,-131.7225,-122.8368,-112.3989,-100.5407,-87.4121,-73.1789,-58.0211,-42.1302,-25.7068,-8.9587,7.9027,24.6642,41.114,57.0444
0.0718,-146.3279,-141.6857,-135.2432,-127.0822,-117.3064,-106.0401,-93.4264,-79.6255,-64.8129,-49.1767,-32.9156,-16.2363,0.6493,17.5266,34.1813,50.4016,65.9815
0.072,-144.0732,-138.4413,-131.0404,-121.9651,-111.3315,-99.2753,-85.9507,-71.5278,-56.191,-40.1362,-23.5686,-6.6998,10.2545,27.0779,43.5552,59.4761,74.6369
0.0722,-141.2946,-134.688,-126.3509,-116.3904,-104.9345,-92.1304,-78.1425,-63.1506,-47.3474,-30.9358,-14.1267,2.8639,19.8177,36.5169,52.7468,68.2991,82.9738
0.0724,-138.002,-130.4398,-121.1923,-110.3791,-98.1399,-84.6327,-70.0321,-54.5267,-38.3169,-21.612,-4.6279,12.416,29.2995,45.8044,61.7176,76.8334,90.9566
0.0726,-134.2074,-125.7121,-115.5837,-103.9537,-90.9732,-76.8109,-61.6508,-45.6897,-29.1352,-12.2021,4.8895,21.9176,38.661,54.9021,70.43,85.0429,98.551
0.0728,-129.9247,-120.5224,-109.5458,-97.1382,-83.4617,-68.6951,-53.031,-36.6743,-19.8385,-2.7435,14.3873,31.3301,47.8637,63.7721,78.8475,92.8929,105.7248
0.073,-125.1695,-114.8898,-103.1012,-89.9583,-75.6339,-60.3161,-44.2061,-27.5155,-10.4635,6.726,23.8271,40.6153,56.87,72.3777,86.9349,100.3501,112.4474
0.0732,-119.959,-108.835,-96.2737,-82.4409,-67.5194,-51.7063,-35.2102,-18.2492,-1.0472,16.1687,33.171,49.7353,65.6427,80.6832,94.6582,107.3832,118.6899
0.0734,-114.3122,-102.3801,-89.0887,-74.6142,-59.149,-42.8984,-26.0782,-8.9116,8.3732,25.5469,42.3814,58.653,74.1459,88.6542,101.9853,113.9622,124.4259
0.0736,-108.2495,-95.549,-81.5729,-66.5076,-50.5544,-33.9263,-16.8452,0.4608,17.7606,34.8233,51.4211,67.3324,82.3447,96.2576,108.8854,120.0595,129.6307
0.0738,-101.7932,-88.3668,-73.7541,-58.1515,-41.7682,-24.8243,-7.5471,9.8314,27.0779,43.9609,60.2538,75.7379,90.2053,103.4619,115.3296,125.6492,134.2822
0.074,-94.9666,-80.8597,-65.6615,-49.5772,-32.8237,-15.6272,1.7802,19.1636,36.2883,52.9233,68.844,83.8355,97.6956,110.2372,121.291,130.7078,138.3605
0.0742,-87.7946,-73.0555,-57.3251,-40.8168,-23.7547,-6.3703,11.1006,28.4209,45.3555,61.6747,77.1569,91.5923,104.7848,116.5554,126.7445,135.2137,141.8482
0.0744,-80.3033,-64.9828,-48.7758,-31.9034,-14.5957,2.911,20.3781,37.5671,54.2437,70.1802,85.1593,98.9766,111.4437,122.3904,131.6674,139.1481,144.7305
0.0746,-72.5199,-56.6713,-40.0454,-22.8703,-5.3814,12.1812,29.5767,46.5666,62.9178,78.406,92.8189,105.9586,117.645,127.7179,136.039,142.4942,146.995
0.0748,-64.4727,-48.1515,-31.1663,-13.7513,3.8533,21.4047,38.661,55.3842,71.3436,86.3193,100.1047,112.5097,123.3633,132.5158,139.841,145.2379,148.632
0.075,-56.191,-39.4547,-22.1714,-4.5808,13.0734,30.5463,47.5957,63.9853,79.4879,93.8885,106.9876,118.6034,128.5751,136.7643,143.0575,147.3676,149.6346
0.0752,-47.7049,-30.6129,-13.0942,4.6069,22.2439,39.5709,56.3463,72.3365,87.3184,101.0835,113.4397,124.2149,133.2589,140.4457,145.6751,148.8743,149.9985
0.0754,-39.0453,-21.6586,-3.9684,13.7774,31.3301,48.4439,64.879,80.405,94.8044,107.8755,119.4352,129.3214,137.3956,143.5448,147.6828,149.7516,149.7221
0.0756,-30.2437,-12.6247,5.1721,22.8961,40.2976,57.1315,73.1607,88.1593,101.9162,114.2375,124.9498,133.902,140.9682,146.0488,149.0722,149.9958,148.8067
0.0758,-21.3321,-3.5444,14.2935,31.929,49.1124,65.6003,81.1594,95.5692,108.6258,120.1442,129.9614,137.9383,143.962,147.9472,149.8374,149.6059,147.2561
0.076,-12.343,5.5489,23.3617,40.842,57.741,73.818,88.8442,102.6057,114.9067,125.572,134.4498,141.4137,146.3646,149.2321,149.9753,148.5836,145.0769
0.0762,-3.3089,14.6218,32.3432,49.6019,66.1507,81.7529,96.1853,109.2413,120.7341,130.4992,138.3969,144.3142,148.1663,149.8983,149.4853,146.9331,142.2784
0.0764,5.7372,23.641,41.2047,58.1756,74.3097,89.3749,103.1544,115.4501,126.085,134.9062,141.7868,146.6279,149.3597,149.943,148.3694,144.6615,138.8727
0.0766,14.7625,32.5733,49.9131,66.5311,82.1871,96.6546,109.7245,121.2077,130.9383,138.7755,144.606,148.3454,149.9397,149.3659,146.6323,141.7783,134.8741
0.0768,23.7341,41.3859,58.4361,74.6369,89.7529,103.5642,115.8701,126.4918,135.2749,142.0916,146.8429,149.4598,149.9042,148.1696,144.2813,138.2957,130.2999
0.077,32.6193,50.0463,66.7422,82.4628,96.9785,110.0773,121.5676,131.2817,139.0776,144.8413,148.4888,149.9666,149.2531,146.3589,141.3262,134.2285,125.1695
0.0772,41.3859,58.5229,74.8004,89.9793,103.8366,116.1688,126.7949,135.5586,142.3314,147.0137,149.5368,149.8636,147.9892,143.9414,137.7794,129.5938,119.5048
0.0774,50.0019,66.7844,82.5809,97.1582,110.3011,121.8156,131.5317,139.3059,145.0235,148.6001,149.9828,149.1512,146.1177,140.927,133.6557,124.4112,113.33
0.0776,58.4361,74.8004,90.0547,103.9725,116.3475,126.9959,135.7597,142.5089,147.1433,149.5941,149.825,147.8325,143.6463,137.3283,128.9725,118.7027,106.6715
0.0778,66.6578,82.5415,97.1941,110.3968,121.9529,131.6899,139.4626,145.1551,148.6823,149.9918,149.064,145.9127,140.585,133.1603,123.7493,112.4924,99.5576
0.078,74.6369,89.9793,103.9725,116.407,127.0961,135.8797,142.6261,147.2341,149.6346,149.7917,147.7029,143.3997,136.9465,128.4401,118.0079,105.8065,92.0188
0.0782,82.3447,97.0863,110.3649,121.9804,131.7576,139.5492,145.2379,148.7378,149.9963,148.9944,145.7472,140.3036,132.7457,123.1873,111.7725,98.6733,84.0872
0.0784,89.7529,103.8366,116.3475,127.0961,135.9196,142.6843,147.2879,149.6604,149.7661,147.6033,143.2048,136.6371,127.9999,117.4238,105.0691,91.123,75.7967
0.0786,96.8346,110.2052,121.898,131.735,139.5665,145.2731,148.7681,149.9983,148.9448,145.6238,140.0858,132.4151,122.7285,111.1734,97.9259,83.1875,67.1826
0.0788,103.5642,116.1688,126.9959,135.8797,142.6843,147.3057,149.673,149.7501,147.5357,143.0638,136.4028,127.6547,116.9532,104.4621,90.3726,74.9002,58.2818
0.079,109.9171,121.7055,131.6222,139.5146,145.2614,148.7742,149.9989,148.9167,145.5444,139.9336,132.1708,122.3752,110.6977,97.3176,82.4409,66.2963,49.1322
0.0792,115.8701,126.7949,135.7597,142.6261,147.2879,149.673,149.7446,147.5016,142.9786,136.2456,127.4066,116.5983,103.9876,89.7697,74.1641,57.4122,39.7728
0.0794,121.4018,131.4182,139.3931,145.2025,148.7561,149.9987,148.9111,145.5101,139.8486,132.0145,122.1295,110.3472,96.8506,81.8495,65.5768,48.2853,30.2437
0.0796,126.4918,135.5586,142.5089,147.2341,149.6604,149.7501,147.5016,142.9501,136.1666,127.2571,116.3607,103.6475,89.316,73.5899,56.7149,38.9543,20.5856
0.0798,131.1218,139.2008,145.0955,148.7133,149.9975,148.928,145.5215,139.8315,131.9473,121.9925,110.1235,96.5264,81.4146,65.0253,47.6156,29.4587,10.8395
0.08,135.2749,142.3314,147.1433,149.6346,149.7661,147.5357,142.9786,136.1666,127.2072,116.2417,103.4429,89.0128,73.1789,56.191,38.3169,19.8385,1.0472
0.0802,138.9359,144.9389,148.6447,149.9945,148.967,145.5785,139.8826,131.9697,121.9651,110.0275,96.3459,81.1374,64.6428,47.1237,28.8577,10.1344,-8.7496
0.0804,142.0916,147.0137,149.5941,149.7917,147.6033,143.0638,136.2456,127.2571,116.2417,103.3747,88.861,72.932,55.8413,37.8611,19.2778,0.3875,-18.509
0.0806,144.7305,148.5482,149.988,149.0269,145.6801,140.0014,132.0815,122.0474,110.0595,96.3098,81.0184,64.4301,46.8104,28.4414,9.6171,-9.3611,-28.1895
0.0808,146.8429,149.5368,149.825,147.7029,143.2048,136.4028,127.4066,116.3607,103.4429,88.861,72.8496,55.6663,37.5874,18.9039,-0.0838,-19.0701,-37.7496
0.081,148.4213,149.9758,149.1056,145.8249,140.1866,132.282,122.2388,110.2194,96.4181,81.0581,64.3876,46.6761,28.2101,9.2879,-9.7843,-28.6984,-47.1486
0.0812,149.4598,149.8636,147.8325,143.3997,136.6371,127.6547,116.5983,103.6475,89.0128,72.932,55.6663,37.4962,18.7169,-0.3665,-19.4439,-38.2055,-56.3463
0.0814,149.9547,149.2006,146.0105,140.4365,132.5697,122.5385,110.5067,96.6706,81.2562,64.5152,46.7209,28.1638,9.1468,-10.0195,-29.0221,-47.551,-65.3035
0.0816,149.9042,147.9892,143.6463,136.9465,127.9999,116.9532,103.9876,89.316,73.1789,55.8413,37.5874,18.7169,-0.4608,-19.6308,-38.4788,-56.6955,-73.982
0.0818,149.3084,146.234,140.7486,132.9427,122.9448,110.92,97.0664,81.6124,64.8129,46.9447,28.3026,9.1939,-10.0665,-29.1608,-47.7744,-65.6003,-82.3447
0.082,148.1696,143.9414,137.3283,128.4401,117.4238,104.4621,89.7697,73.5899,56.191,37.8611,18.9039,-0.3665,-19.6308,-38.5699,-56.87,-74.2278,-90.3559
0.0822,146.4918,141.1197,133.3981,123.4556,111.4577,97.6042,82.1257,65.28,47.3474,28.6265,9.429,-9.9254,-29.1146,-47.8191,-65.7274,-82.5415,-97.9814
0.0824,144.2813,137.7794,128.9725,118.0079,105.0691,90.3726,74.1641,56.7149,38.3169,19.2778,-0.0838,-19.4439,-38.4788,-56.87,-74.3097,-90.5063,-105.1887
0.0826,141.5459,133.9327,124.068,112.1176,98.2823,82.7949,65.9156,47.9283,29.1352,9.8523,-9.5962,-28.8834,-47.6851,-65.6851,-82.5809,-98.0884,-111.947
0.0828,138.2957,129.5938,118.7027,105.8065,91.123,74.9002,57.4122,38.9543,19.8385,0.3875,-19.0701,-38.2055,-56.6955,-74.2278,-90.5063,-105.2558,-118.2274
0.083,134.5425,124.7786,112.8967,99.0986,83.6183,66.7187,48.6867,29.8282,10.4635,-9.0789,-28.4671,-47.3722,-65.4732,-82.4628,-98.0527,-111.9783,-124.0032
0.0832,130.2999,119.5048,106.6715,92.0188,75.7967,58.2818,39.7728,20.5856,1.0472,-18.509,-37.7496,-56.3463,-73.982,-90.3559,-105.1887,-118.2274,-129.2497
0.0834,125.5834,113.7918,100.0501,84.5938,67.6877,49.6216,30.7052,11.2625,-8.3732,-27.8654,-46.8801,-65.0913,-82.1871,-97.8743,-111.8842,-123.9767,-133.9445
0.0836,120.4101,107.6606,93.0572,76.8514,59.3222,40.7715,21.5187,1.8954,-17.7606,-37.1107,-55.8218,-73.5717,-90.0547,-104.9869,-118.1113,-129.2018,-138.0675
0.0838,114.7989,101.1338,85.7188,68.8207,50.7319,31.7652,12.249,-7.4791,-27.0779,-46.2081,-64.5389,-81.7529,-97.5525,-111.6642,-123.8439,-133.8808,-141.6013
0.084,108.7701,94.2352,78.062,60.5318,41.9492,22.6374,2.932,-16.8244,-36.2883,-55.1213,-72.9961,-89.6018,-104.6498,-117.8785,-129.058,-137.9938,-144.5306
0.0842,102.3457,86.9903,70.1154,52.0158,33.0076,13.4228,-6.3964,-26.1039,-45.3555,-63.8148,-81.1594,-97.0863,-111.3174,-123.6041,-133.7317,-141.5234,-146.8429
0.0844,95.549,79.4257,61.9084,43.3046,23.9408,4.1568,-15.7001,-35.2815,-54.2437,-72.2539,-88.996,-104.1762,-117.528,-128.8172,-137.8455,-144.4547,-148.5285
0.0846,88.4048,71.5692,53.4716,34.431,14.7833,-5.125,-24.943,-44.3212,-62.9178,-80.405,-96.4743,-110.8424,-123.256,-133.4961,-141.3822,-146.7753,-149.5801
0.0848,80.9391,63.4497,44.8361,25.4282,5.5698,-14.3873,-34.0895,-53.1877,-71.3436,-88.2356,-103.5642,-117.058,-128.4779,-137.6216,-144.327,-148.4754,-149.9932
0.085,73.1789,55.097,36.0342,16.33,-3.6648,-23.5944,-43.1041,-61.8464,-79.4879,-95.7144,-110.2372,-122.7977,-133.1723,-141.1764,-146.6675,-149.5478,-149.7661
0.0852,65.1526,46.5417,27.0985,7.1706,-12.8856,-32.7113,-51.9519,-70.2635,-87.3184,-102.8118,-116.4664,-128.0381,-137.3199,-144.1459,-148.3939,-149.988,-148.8997
0.0854,56.8894,37.8155,18.0621,-2.0158,-22.0575,-41.7028,-60.5989,-78.406,-94.8044,-109.4993,-122.2267,-132.7579,-140.9037,-146.5177,-149.499,-149.7942,-147.3977
0.0856,48.4192,28.9502,8.9587,-11.1946,-31.1458,-50.5347,-69.0114,-86.2422,-101.9162,-115.7503,-127.4949,-136.938,-143.9089,-148.282,-149.9782,-148.967,-145.2666
0.0858,39.7728,19.9786,-0.178,-20.3314,-40.116,-59.1731,-77.1569,-93.7414,-108.6258,-121.54,-132.2499,-140.5612,-146.3233,-149.4315,-149.8295,-147.5101,-142.5154
0.086,30.9819,10.9335,-9.3141,-29.3919,-48.9342,-67.5849,-85.0041,-100.8744,-114.9067,-126.8452,-136.4725,-143.613,-148.1368,-149.9614,-149.0535,-145.4296,-139.1559
0.0862,22.0782,1.8483,-18.4155,-38.3422,-57.5669,-75.7379,-92.5224,-107.6132,-120.7341,-131.6448,-140.1456,-146.081,-149.3422,-149.8695,-147.6534,-142.7343,-135.2024
0.0864,13.0942,-7.2438,-27.4486,-47.1486,-65.9815,-83.6009,-99.6829,-113.9316,-126.085,-135.9196,-143.2545,-147.9549,-149.9343,-149.1562,-145.6351,-139.4356,-130.6718
0.0866,4.0626,-16.3092,-36.3797,-55.7781,-74.1459,-91.1438,-106.4577,-119.8048,-130.9383,-139.6526,-145.7868,-149.2273,-149.9108,-147.8245,-143.0071,-135.5474,-125.5834
0.0868,-4.9837,-25.3147,-45.1758,-64.1983,-82.0293,-98.3377,-112.8208,-125.2099,-135.2749,-142.829,-147.7321,-149.893,-149.2718,-145.8799,-139.7803,-131.0862,-119.959
0.087,-14.012,-34.2271,-53.8041,-72.3777,-89.6018,-105.1551,-118.7475,-130.1258,-139.0776,-145.436,-149.0826,-149.9493,-148.0199,-143.3304,-135.9683,-126.0708,-113.8225
0.0872,-22.9893,-43.0138,-62.2326,-80.2856,-96.8346,-111.5698,-124.2149,-134.5332,-142.3314,-147.4634,-149.833,-149.3959,-146.1602,-140.1866,-131.587,-120.5224,-107.2002
0.0874,-31.8829,-51.6424,-70.43,-87.8922,-103.7005,-117.5573,-129.2018,-138.415,-145.0235,-148.9029,-149.9802,-148.2351,-143.7004,-136.4616,-126.6548,-114.4646,-100.1203
0.0876,-40.6606,-60.0811,-78.3659,-95.1691,-110.1733,-123.0946,-133.689,-141.756,-147.1433,-149.7489,-149.5235,-146.4715,-140.6506,-132.1708,-121.1923,-107.9228,-92.6131
0.0878,-49.2904,-68.2991,-86.0107,-102.089,-116.2284,-128.1607,-137.659,-144.5432,-148.6823,-149.9979,-148.4649,-144.1125,-137.0233,-127.3319,-115.2224,-100.9248,-84.7105
0.088,-57.741,-76.2661,-93.3362,-108.6258,-121.8431,-132.736,-141.0966,-146.7655,-149.6346,-149.6491,-146.8087,-141.1676,-132.8334,-121.9651,-108.7701,-93.5001,-76.4463
0.0882,-65.9815,-83.9527,-100.3151,-114.7551,-126.9959,-136.803,-143.9884,-148.4145,-149.9963,-148.7037,-144.5613,-137.6486,-128.098,-116.0926,-101.8624,-85.6801,-67.8559
0.0884,-73.982,-91.3308,-106.9215,-120.4538,-131.6674,-140.3462,-146.3233,-149.4835,-149.7661,-147.1656,-141.7321,-133.5701,-122.8368,-109.7388,-94.5282,-77.4979,-58.9758
0.0886,-81.7134,-98.3733,-113.1308,-125.7007,-135.8398,-143.352,-148.0921,-149.9685,-148.9448,-145.0409,-138.3322,-128.9484,-117.0711,-102.9299,-86.7983,-68.9881,-49.8439
0.0888,-89.1476,-105.0542,-118.9201,-130.4759,-139.4973,-145.8089,-149.2882,-149.8675,-147.5357,-142.338,-134.3754,-123.8025,-110.8248,-95.6943,-78.7049,-60.1867,-40.4993
0.089,-96.2576,-111.349,-124.2677,-134.7617,-142.6261,-147.7075,-149.9068,-149.181,-145.5444,-139.0678,-129.8776,-118.1532,-104.1234,-88.0619,-70.282,-51.1308,-30.9819
0.0892,-103.0175,-117.2346,-129.1539,-138.5418,-145.2143,-149.0405,-149.9455,-147.9116,-142.9786,-135.2432,-124.857,-112.0236,-96.9945,-80.0643,-61.5649,-41.8587,-21.3321
0.0894,-109.4026,-122.6893,-133.5605,-141.8022,-147.2521,-149.8028,-149.4043,-146.0643,-139.8486,-130.8795,-119.3337,-105.4385,-89.4674,-71.7348,-52.59,-32.4097,-11.5914
0.0896,-115.3899,-127.6931,-137.4712,-144.5306,-148.7317,-149.9916,-148.2852,-143.6463,-136.1666,-125.9941,-113.33,-98.4247,-81.5729,-63.1079,-43.3949,-22.8237,-1.8011
0.0898,-120.9574,-132.2277,-140.8713,-146.7167,-149.6476,-149.6059,-146.5924,-140.667,-131.9473,-120.6066,-106.8701,-91.0107,-73.3434,-54.2193,-34.0181,-13.1412,7.9968
0.09,-126.085,-136.2762,-143.7484,-148.3524,-149.9963,-148.6475,-144.3327,-137.1381,-127.2072,-114.7382,-99.9799,-83.2267,-64.8129,-45.1059,-24.4989,-3.4031,17.7606
0.0902,-130.754,-139.8239,-146.0916,-149.4315,-149.7765,-147.1198,-141.5147,-133.0734,-121.9651,-108.4125,-92.6872,-75.1043,-56.0162,-35.8054,-14.8771,6.3494,27.4486
0.0904,-134.9474,-142.8578,-147.8924,-149.95,-148.989,-145.0289,-138.1493,-128.4887,-116.2417,-101.6547,-85.0213,-66.6765,-46.9895,-26.3566,-5.1931,16.075,37.0194
0.0906,-138.65,-145.3666,-149.144,-149.9059,-147.6368,-142.3826,-134.2495,-123.402,-110.0595,-94.4916,-77.0132,-57.9777,-37.7699,-16.7984,4.5127,25.7326,46.4322
0.0908,-141.8482,-147.3411,-149.8418,-149.2994,-145.7249,-139.1911,-129.8304,-117.8332,-103.4429,-86.9519,-68.6951,-49.0431,-28.3952,-7.1706,14.1996,35.2815,55.6468
0.091,-144.5306,-148.7742,-149.9831,-148.1327,-143.2608,-135.4666,-124.9092,-111.8039,-96.4181,-79.0656,-60.1003,-39.9091,-18.9039,2.487,23.8271,44.6812,64.6239
0.0912,-146.6872,-149.6604,-149.5675,-146.4103,-140.2536,-131.2234,-119.5048,-105.3379,-89.0128,-70.8642,-51.2637,-30.6129,-9.335,12.1342,33.3548,53.892,73.3252
0.0914,-148.3103,-149.9967,-148.5965,-144.1386,-136.7148,-126.4778,-113.6382,-98.4602,-81.2562,-62.3802,-42.2206,-21.1922,0.2723,21.7311,42.7429,62.875,81.7134
0.0916,-149.394,-149.7816,-147.0737,-141.3262,-132.6578,-121.2478,-107.332,-91.1979,-73.1789,-53.6476,-33.0076,-11.6853,9.8784,31.238,51.9519,71.5922,89.7529
0.0918,-149.9343,-149.0161,-145.0048,-137.9835,-128.098,-115.5536,-100.6106,-83.5792,-64.8129,-44.7012,-23.6617,-2.131,19.4439,40.6153,60.9435,80.0067,97.4092
0.092,-149.9292,-147.7029,-142.3974,-134.1231,-123.0527,-109.417,-93.5001,-75.6339,-56.191,-35.5766,-14.2205,7.4321,28.9297,49.8242,69.6799,88.083,104.6498
0.0922,-149.3789,-145.8469,-139.2612,-129.7596,-117.541,-102.8613,-86.0279,-67.3932,-47.3474,-26.3102,-4.7221,16.9649,38.2966,58.8265,78.1246,95.787,111.4437
0.0924,-148.2852,-143.4549,-135.6079,-124.9092,-111.5838,-95.9118,-78.2229,-58.8891,-38.3169,-16.9389,4.7953,26.4287,47.5063,67.5849,86.2422,103.086,117.7619
0.0926,-146.6521,-140.5356,-131.451,-119.5902,-105.2036,-88.5951,-70.1154,-50.1549,-29.1352,-7.5,14.2935,35.7851,56.521,76.0631,93.9987,109.9491,123.5774
0.0928,-144.4856,-137.0999,-126.8061,-113.8225,-98.4247,-80.9391,-61.7367,-41.2248,-19.8385,1.9687,23.7341,44.996,65.3035,84.2259,101.3617,116.3475,128.8654
0.093,-141.7937,-133.1603,-121.6902,-107.6278,-91.2727,-72.9732,-53.1192,-32.1336,-10.4635,11.4295,33.0791,54.0239,73.818,92.0395,108.3003,122.254,133.6034
0.0932,-138.5859,-128.7312,-116.1224,-101.0293,-83.7747,-64.7279,-44.2962,-22.9168,-1.0472,20.8449,42.2909,62.8322,82.0293,99.4714,114.7854,127.6437,137.7711
0.0934,-134.8741,-123.8291,-110.1235,-94.0518,-75.9593,-56.2347,-35.3019,-13.6105,8.3732,30.1771,51.3325,71.3851,89.9038,106.4909,120.79,132.4937,141.3507
0.0936,-130.6718,-118.4719,-103.7156,-86.7214,-67.8559,-47.5262,-26.171,-4.2511,17.7606,39.389,60.1675,79.6477,97.4092,113.0689,126.2888,136.7837,144.327
0.0938,-125.9941,-112.6793,-96.9226,-79.0656,-59.4953,-38.6357,-16.9389,5.125,27.0779,48.4439,68.7602,87.5864,104.5147,119.1781,131.2589,140.4953,146.6872
0.094,-120.8582,-106.4725,-89.7697,-71.1132,-50.9092,-29.5973,-7.6412,14.4811,36.2883,57.3058,77.0761,95.1691,111.191,124.7931,135.6794,143.613,148.4213
0.0942,-115.2827,-99.8744,-82.2834,-62.894,-42.1302,-20.4455,1.686,23.7806,45.3555,65.9391,85.0817,102.3648,117.4108,129.8907,139.5319,146.1236,149.5219
0.0944,-109.2879,-92.9093,-74.4916,-54.4389,-33.1914,-11.2155,11.0066,32.9871,54.2437,74.3097,92.7448,109.1444,123.1485,134.4498,142.8002,148.0165,149.9842
0.0946,-102.8956,-85.6027,-66.4231,-45.7795,-24.1269,-1.9425,20.2847,42.0648,62.9178,82.3841,100.0345,115.4801,128.3805,138.4513,145.4706,149.2836,149.8063
0.0948,-96.129,-77.9815,-58.108,-36.9484,-14.9709,7.3379,29.4843,50.9782,71.3436,90.13,106.9215,121.3464,133.0855,141.8788,147.5319,149.9196,148.989
0.095,-89.0128,-70.0738,-49.5772,-27.9786,-5.7582,16.5902,38.5699,59.6923,79.4879,97.5167,113.378,126.7193,137.244,144.7181,148.9756,149.9218,147.5357
0.0952,-81.5729,-61.9084,-40.8622,-18.9039,3.4764,25.779,47.5063,68.1732,87.3184,104.5147,119.3781,131.577,140.8389,146.9573,149.7955,149.2902,145.4527
0.0954,-73.8362,-53.5156,-31.9955,-9.7582,12.6978,34.8691,56.2589,76.3878,94.8044,111.0961,124.8976,135.8997,143.8556,148.5872,149.9883,148.0275,142.7488
0.0956,-65.831,-44.9261,-23.01,-0.576,21.871,43.8257,64.794,84.3038,101.9162,117.2346,129.9143,139.6698,146.2817,149.601,149.5531,146.139,139.4356
0.0958,-57.5863,-36.1714,-13.939,8.6085,30.9614,52.6145,73.0784,91.8905,108.6258,122.9058,134.4079,142.8721,148.1071,149.9945,148.4917,143.6327,135.5272
0.096,-49.1322,-27.2838,-4.8163,17.7606,39.9344,61.2018,81.0801,99.1182,114.9067,128.0871,138.3605,145.4935,149.3244,149.7661,146.8087,140.5192,131.0404
0.0962,-40.4993,-18.296,4.3243,26.8461,48.756,69.5547,88.7682,105.9586,120.7341,132.7579,141.756,147.5234,149.9286,148.9167,144.5109,136.8116,125.9941
0.0964,-31.7192,-9.2409,13.4489,35.8309,57.3928,77.6413,96.113,112.385,126.085,136.8995,144.5809,148.9535,149.9172,147.4499,141.6082,132.5256,120.4101
0.0966,-22.8237,-0.1518,22.5235,44.6812,65.8121,85.4307,103.086,118.3723,130.9383,140.4953,146.8237,149.7779,149.2902,145.3717,138.1125,127.6794,114.3122
0.0968,-13.8452,8.9378,31.5145,53.3639,73.982,92.8929,109.6602,123.897,135.2749,143.5312,148.4754,149.9934,148.0503,142.6908,134.0386,122.2934,107.7262
0.097,-4.8163,17.9945,40.3884,61.8464,81.8714,99.9994,115.8103,128.9377,139.0776,145.9949,149.5293,149.5991,146.2025,139.4182,129.4035,116.3904,100.6805
0.0972,4.2301,26.9852,49.1124,70.0969,89.4505,106.723,121.5124,133.4746,142.3314,147.8766,149.9813,148.5965,143.7544,135.5676,124.2267,109.9954,93.205
0.0974,13.2611,35.8766,57.654,78.0844,96.6906,113.038,126.7445,137.49,145.0235,149.169,149.8295,146.9897,140.716,131.1549,118.5297,103.1354,85.3317
0.0976,22.2439,44.6362,65.9815,85.7789,103.5642,118.9201,131.4863,140.9682,147.1433,149.8667,149.0745,144.7854,137.0999,126.1983,112.3364,95.8393,77.0941
0.0978,31.1458,53.2318,74.064,93.1516,110.0452,124.3469,135.7196,143.8956,148.6823,149.967,147.7193,141.9923,132.9208,120.7185,105.6728,88.1381,68.5274
0.098,39.9344,61.6317,81.8714,100.1749,116.1092,129.2975,139.4279,146.2608,149.6346,149.4695,145.7695,138.622,128.196,114.7382,98.5668,80.0643,59.6683
0.0982,48.5777,69.8051,89.3749,106.8223,121.733,133.753,142.5969,148.0545,149.9963,148.3763,143.2328,134.688,122.9448,108.2822,91.0481,71.652,50.5544
0.0984,57.0444,77.722,96.5464,113.0689,126.8955,137.6964,145.2143,149.2697,149.7661,146.6916,140.1195,130.2064,117.1889,101.3771,83.1482,62.9368,41.2248
0.0986,65.3035,85.3532,103.3595,118.8914,131.577,141.1126,147.27,149.9017,148.9448,144.4222,136.442,125.1955,110.9517,94.0518,74.9002,53.9556,31.7192
0.0988,73.3252,92.6707,109.7887,124.2677,135.7597,143.9884,148.7561,149.948,147.5357,141.5771,132.2153,119.6755,104.259,86.3364,66.3386,44.7462,22.0782
0.099,81.0801,99.6477,115.8103,129.1779,139.4279,146.3129,149.6667,149.4085,145.5444,138.1676,127.4563,113.6689,97.1382,78.2631,57.4992,35.3476,12.343
0.0992,88.5401,106.2584,121.4018,133.6034,142.5676,148.0771,149.9985,148.2852,142.9786,134.2074,122.1842,107.2002,89.6186,69.8653,48.4192,25.7997,2.555
0.0994,95.6781,112.4786,126.5425,137.5277,145.1669,149.2744,149.7501,146.5824,139.8486,129.7123,116.4202,100.2956,81.731,61.1779,39.1363,16.1426,-7.2438
0.0996,102.4681,118.2854,131.2133,140.936,147.216,149.9,148.9224,144.307,136.1666,124.7001,110.1875,92.9833,73.5078,52.2367,29.6897,6.4174,-17.0117
0.0998,108.8854,123.6575,135.3968,143.8155,148.7071,149.9517,147.5187,141.4677,131.9473,119.1908,103.5112,85.2929,64.9828,43.079,20.1187,-3.335,-26.707
0.1,114.9067,128.5751,139.0776,146.1555,149.6346,149.4292,145.5444,138.0757,127.2072,113.2064,96.4181,77.2557,56.191,33.7427,10.4635,-13.0734,-36.2883
0.1002,120.51,133.0202,142.2419,147.9472,149.9949,148.3345,143.0071,134.1442,121.9651,106.7708,88.937,68.9044,47.1685,24.2664,0.7645,-22.7564,-45.7147
