1,"(160.61339931713397, -13.997138194761812)",7
2,"(137.85465773847937, 7.540061591685656)",10
3,"(151.95484042916235, 3.4946515179876143)",10
4,"(149.59275862417763, 6.623517661649991)",5
5,"(152.30383379171394, 9.153739170892456)",16
6,"(150.02570990071328, 9.686651123381099)",14
7,"(150.08115600376917, 9.927695129230221)",3
8,"(150.0378614179947, 9.957515316497695)",6
9,"(149.90816479890887, 9.987761914212879)",7
10,"(149.9938432588556, 9.938085686635768)",28
11,"(150.00516603139636, 9.994323716174788)",4
12,"(149.99949585899043, 9.993260466947625)",9
13,"(149.9901627278127, 9.997009182273045)",18
14,"(150.00009402665893, 9.998457582362322)",5
15,"(150.00057542126754, 9.997807621021762)",11
