1,"[149.704825324106, 10.0]"
2,"[149.704825324106, 10.0]"
3,"[149.704825324106, 10.0]"
4,"[149.704825324106, 10.0]"
5,"[149.704825324106, 10.0]"
6,"[149.704825324106, 10.0]"
7,"[149.704825324106, 10.0]"
8,"[149.704825324106, 10.0]"
9,"[149.704825324106, 10.0]"
10,"[149.704825324106, 10.0]"
11,"[149.704825324106, 10.0]"
12,"[149.704825324106, 10.0]"
13,"[149.704825324106, 10.0]"
14,"[149.704825324106, 10.0]"
15,"[149.704825324106, 10.0]"
