0,0,0,0,0,100.0
1,0,0,0,0,100.0
2,0,0,0,0,100.0
3,0,0,0,0,100.0
4,0,0,0,0,100.0
5,150.0482,32.0747,49.9752,2.7154,0.1343
6,150.0,32.0,49.9923,0.8543,0.0
7,150.0,32.0,49.9977,0.2683,0.0
8,150.0,32.0,49.9993,0.0808,0.0
9,150.0,32.0,49.9998,0.0262,0.0
10,150.0,32.0,49.9999,0.007,0.0
11,150.0,32.0,50.0,0.0028,0.0
12,150.0,32.0,50.0,0.0003,0.0
13,150.0,32.0,50.0,0.0021,0.0
14,150.0,32.0,50.0,-0.0035,0.0
15,150.0,32.0,50.0,0.0024,0.0
16,150.0,32.0,50.0,-0.0016,0.0
17,150.0,32.0,50.0,0.0015,0.0
18,150.0,32.0,50.0,0.0002,0.0
19,150.0,32.0,50.0,-0.0001,0.0
20,150.6348,32.0468,49.7988,-10.0616,0.431
21,151.1481,36.9206,50.5376,36.943,4.0659
22,150.3203,43.0519,50.8949,17.8622,5.8528
23,150.0498,49.9865,50.9784,4.1772,6.3068
24,150.001,57.1354,50.997,0.9296,6.3949
25,150.0033,64.3256,51.0002,0.159,6.412
26,150.0031,71.5226,51.0004,0.0111,6.4172
27,150.0036,78.7252,51.0002,-0.0107,6.4127
28,150.002,85.9236,51.0001,-0.0068,6.4155
29,150.003,93.1252,51.0,-0.0037,6.4127
30,150.0025,100.3249,51.0,-0.0,6.4132
31,150.0023,107.5248,51.0001,0.0027,6.4134
32,150.0018,114.7258,50.9999,-0.0051,6.4116
33,150.0007,121.9246,51.0,0.003,6.4137
34,149.996,129.1241,51.0,-0.0004,6.4145
35,149.9995,136.3248,51.0,0.0005,6.4133
36,149.9975,143.5246,51.0,0.0003,6.4136
37,149.9983,150.7252,51.0,-0.0021,6.4126
38,149.9979,157.9253,51.0,0.0024,6.4124
