time(s),30%,50%,70%,90%
0.0182,125.7051,142.0782,158.4513,174.8245
0.0183,132.3246,148.607,164.8895,181.1719
0.0185,138.5191,154.7113,170.9035,187.0957
0.0187,144.2635,160.366,176.4685,192.571
0.0188,149.5346,165.5479,181.5612,197.5745
0.019,154.3111,170.2357,186.1603,202.0849
0.0192,158.5736,174.41,190.2464,206.0827
0.0193,162.3048,178.0535,193.8021,209.5507
0.0195,165.4894,181.1508,196.8122,212.4736
0.0197,168.1144,183.689,199.2636,214.8382
0.0198,170.1688,185.6571,201.1454,216.6337
0.02,171.644,187.0465,202.449,217.8515
0.0202,172.5337,187.8509,203.168,218.4852
0.0203,172.8339,188.0662,203.2985,218.5308
0.0205,172.5428,187.6908,202.8387,217.9866
0.0207,171.6612,186.7252,201.7892,216.8532
0.0208,170.192,185.1725,200.1531,215.1337
0.021,168.1405,183.038,197.9356,212.8332
0.0212,165.5143,180.3293,195.1443,209.9594
0.0213,162.3233,177.0562,191.7892,206.5221
0.0215,158.5795,173.2309,187.8822,202.5335
0.0217,154.2974,168.8675,183.4377,198.0078
0.0218,149.4932,163.9826,178.4721,192.9615
0.022,144.1855,158.5946,173.0038,187.413
0.0222,138.3947,152.724,167.0534,181.3827
0.0223,132.1432,146.3932,160.6431,174.893
0.0225,125.4553,139.6262,153.7972,167.9682
0.0227,118.3567,132.4492,146.5417,160.6342
0.0228,110.8752,124.8896,138.904,152.9184
0.023,103.0396,116.9764,130.9132,144.85
0.0232,94.8806,108.7402,122.5997,136.4593
0.0233,86.4298,100.2126,113.9954,127.7782
0.0235,77.7202,91.4266,105.133,118.8394
0.0237,68.7856,82.4161,96.0465,109.677
0.0238,59.6608,73.2158,86.7708,100.3257
0.024,50.3815,63.8614,77.3412,90.8211
0.0242,40.9837,54.3889,67.7941,81.1993
0.0243,31.5042,44.8352,58.1661,71.497
0.0245,21.9799,35.237,48.4941,61.7511
0.0247,12.448,25.6316,38.8152,51.9988
0.0248,2.9455,16.0561,29.1667,42.2773
0.025,-6.4903,6.5476,19.5856,32.6235
0.0252,-15.8227,-2.857,10.1087,23.0744
0.0253,-25.0154,-12.1215,0.7724,13.6663
0.0255,-34.0324,-21.2099,-8.3875,4.435
0.0257,-42.8386,-30.0871,-17.3357,-4.5843
0.0258,-51.3996,-38.7188,-26.0381,-13.3573
0.026,-59.6821,-47.0716,-34.4611,-21.8506
0.0262,-67.6539,-55.1132,-42.5726,-30.0319
0.0263,-75.2838,-62.8126,-50.3415,-37.8703
0.0265,-82.5422,-70.1402,-57.7381,-45.336
0.0267,-89.4009,-77.0675,-64.7342,-52.4008
0.0268,-95.8332,-83.5681,-71.3031,-59.0381
0.027,-101.8141,-89.617,-77.4199,-65.2228
0.0272,-107.3204,-95.1909,-83.0613,-70.9318
0.0273,-112.3308,-100.2684,-88.2061,-76.1438
0.0275,-116.8259,-104.8304,-92.8349,-80.8394
0.0277,-120.7884,-108.8593,-96.9303,-85.0013
0.0278,-124.203,-112.34,-100.4771,-88.6141
0.028,-127.0566,-115.2594,-103.4622,-91.665
0.0282,-129.3385,-117.6066,-105.8748,-94.1429
0.0283,-131.0399,-119.373,-107.7062,-96.0393
0.0285,-132.1546,-120.5523,-108.9501,-97.3479
0.0287,-132.6784,-121.1405,-109.6025,-98.0646
0.0288,-132.6099,-121.1358,-109.6618,-98.1878
0.029,-131.9495,-120.539,-109.1286,-97.7181
0.0292,-130.7003,-119.353,-108.0058,-96.6586
0.0293,-128.8676,-117.5832,-106.2988,-95.0144
0.0295,-126.459,-115.2371,-104.0152,-92.7934
0.0297,-123.4843,-112.3246,-101.1649,-90.0052
0.0298,-119.9557,-108.8579,-97.76,-86.6621
0.03,-115.8876,-104.8512,-93.8148,-82.7784
0.0302,-111.2962,-100.3209,-89.3457,-78.3705
0.0303,-106.2001,-95.2856,-84.3712,-73.4568
0.0305,-100.6197,-89.7658,-78.9118,-68.0578
0.0307,-94.5775,-83.7837,-72.9899,-62.196
0.0308,-88.0977,-77.3637,-66.6296,-55.8956
0.031,-81.2061,-70.5316,-59.857,-49.1824
0.0312,-73.9304,-63.315,-52.6995,-42.0841
0.0313,-66.2996,-55.7429,-45.1863,-34.6297
0.0315,-58.3441,-47.8459,-37.3478,-26.8497
0.0317,-50.0957,-39.6557,-29.2158,-18.7758
0.0318,-41.5874,-31.2052,-20.8231,-10.441
0.032,-32.8529,-22.5283,-12.2037,-1.8791
0.0322,-23.9273,-13.6598,-3.3924,6.875
0.0323,-14.8459,-4.6354,5.5752,15.7857
0.0325,-5.645,4.5089,14.6629,24.8169
0.0327,3.6387,13.7364,23.8341,33.9318
0.0328,12.9683,23.0101,33.0519,43.0936
0.033,22.3067,32.2928,42.2789,52.2651
0.0332,31.6166,41.5474,51.4782,61.409
0.0333,40.8609,50.7367,60.6125,70.4883
0.0335,50.0029,59.824,69.6451,79.4662
0.0337,59.0062,68.7729,78.5395,88.3062
0.0338,67.8349,77.5474,87.26,96.9726
0.034,76.4538,86.1125,95.7713,105.43
