time(s),10ms,40ms,70ms,100ms
0.0218,84.755,147.773,168.3684,178.0513
0.022,75.9689,138.8987,159.6024,169.3505
0.0222,66.948,129.7856,150.5964,160.4094
0.0224,57.7267,120.468,141.3849,151.2623
0.0226,48.3399,110.9813,132.0031,141.9446
0.0228,38.8237,101.3612,122.4869,132.4921
0.023,29.2142,91.6444,112.8727,122.9413
0.0232,19.5483,81.8676,103.1975,113.3291
0.0234,9.8629,72.0679,93.4983,103.6925
0.0236,0.1951,62.2825,83.8122,94.0687
0.0238,-9.4181,52.5485,74.1765,84.4949
0.024,-18.9398,42.9028,64.6281,75.008
0.0242,-28.3336,33.3821,55.2035,65.6446
0.0244,-37.5633,24.0224,45.9389,56.4408
0.0246,-46.5936,14.8592,36.8697,47.4322
0.0248,-55.3899,5.9272,28.0308,38.6533
0.025,-63.9185,-2.7397,19.4558,30.1381
0.0252,-72.1467,-11.1088,11.1776,21.9193
0.0254,-80.0429,-19.1486,3.2277,14.0285
0.0256,-87.577,-26.8286,-4.3635,6.4961
0.0258,-94.72,-34.1201,-11.5671,-0.6491
0.026,-101.4448,-40.9955,-18.3557,-7.3798
0.0262,-107.7256,-47.4293,-24.7037,-13.67
0.0264,-113.5386,-53.3975,-30.5869,-19.496
0.0266,-118.8616,-58.8777,-35.9833,-24.8354
0.0268,-123.6745,-63.8499,-40.8726,-29.668
0.027,-127.9591,-68.2957,-45.2366,-33.9756
0.0272,-131.6992,-72.199,-49.059,-37.742
0.0274,-134.8809,-75.5457,-52.3257,-40.9531
0.0276,-137.4924,-78.3241,-55.025,-43.5971
0.0278,-139.5242,-80.5244,-57.1473,-45.6643
0.028,-140.9689,-82.1393,-58.6851,-47.1475
0.0282,-141.8216,-83.1638,-59.6334,-48.0415
0.0284,-142.0796,-83.5951,-59.9895,-48.3436
0.0286,-141.7426,-83.433,-59.7531,-48.0535
0.0288,-140.8127,-82.6793,-58.926,-47.173
0.029,-139.294,-81.3383,-57.5125,-45.7066
0.0292,-137.1933,-79.4167,-55.5193,-43.6606
0.0294,-134.5196,-76.9232,-52.9551,-41.0441
0.0296,-131.2839,-73.8691,-49.8312,-37.8682
0.0298,-127.4997,-70.2676,-46.1609,-34.1461
0.03,-123.1826,-66.1343,-41.9595,-29.8934
0.0302,-118.35,-61.4868,-37.2448,-25.1275
0.0304,-113.0218,-56.3445,-32.0363,-19.8683
0.0306,-107.2194,-50.7292,-26.3556,-14.1371
