time(s),correct_value
0.2738,-146.9363
0.274,-148.5402
0.2742,-149.5579
0.2744,-149.9854
0.2746,-149.8209
0.2748,-149.0652
0.275,-147.7212
0.2752,-145.7942
0.2754,-143.2918
0.2756,-140.2239
0.2758,-136.6025
0.276,-132.4421
0.2762,-127.759
0.2764,-122.5717
0.2766,-116.9007
0.2768,-110.7683
0.277,-104.1988
0.2772,-97.218
0.2774,-89.8535
0.2776,-82.1345
0.2778,-74.0913
0.278,-65.7557
0.2782,-57.1606
0.2784,-48.3399
0.2786,-39.3284
0.2788,-30.1617
0.279,-20.876
0.2792,-11.5079
0.2794,-2.0943
0.2796,7.3275
0.2798,16.7203
0.28,26.0472
0.2802,35.2713
0.2804,44.3562
0.2806,53.266
0.2808,61.9657
0.281,70.4207
0.2812,78.5979
0.2814,86.4648
0.2816,93.9906
0.2818,101.1454
0.282,107.901
0.2822,114.2307
0.2824,120.1097
0.2826,125.5146
0.2828,130.4242
0.283,134.8191
0.2832,138.6819
0.2834,141.9974
0.2836,144.7525
0.2838,146.9363
0.284,148.5402
0.2842,149.5579
0.2844,149.9854
0.2846,149.8209
0.2848,149.0652
0.285,147.7212
0.2852,145.7942
0.2854,143.2918
0.2856,140.2239
0.2858,136.6025
0.286,132.4421
0.2862,127.759
0.2864,122.5717
0.2866,116.9007
0.2868,110.7683
0.287,104.1988
0.2872,97.218
0.2874,89.8535
0.2876,82.1345
0.2878,74.0913
0.288,65.7557
0.2882,57.1606
0.2884,48.3399
0.2886,39.3284
0.2888,30.1617
0.289,20.876
0.2892,11.5079
0.2894,2.0943
0.2896,-7.3275
0.2898,-16.7203
0.29,-26.0472
0.2902,-35.2713
0.2904,-44.3562
0.2906,-53.266
0.2908,-61.9657
0.291,-70.4207
0.2912,-78.5979
0.2914,-86.4648
0.2916,-93.9906
0.2918,-101.1454
0.292,-107.901
0.2922,-114.2307
0.2924,-120.1097
0.2926,-125.5146
0.2928,-130.4242
0.293,-134.8191
0.2932,-138.6819
0.2934,-141.9974
0.2936,-144.7525
0.2938,-146.9363
0.294,-148.5402
0.2942,-149.5579
0.2944,-149.9854
0.2946,-149.8209
0.2948,-149.0652
0.295,-147.7212
0.2952,-145.7942
0.2954,-143.2918
0.2956,-140.2239
0.2958,-136.6025
0.296,-132.4421
0.2962,-127.759
0.2964,-122.5717
0.2966,-116.9007
0.2968,-110.7683
0.297,-104.1988
0.2972,-97.218
0.2974,-89.8535
0.2976,-82.1345
0.2978,-74.0913
0.298,-65.7557
0.2982,-57.1606
0.2984,-48.3399
0.2986,-39.3284
0.2988,-30.1617
0.299,-20.876
0.2992,-11.5079
0.2994,-2.0943
0.2996,7.3275
0.2998,16.7203
0.3,26.0472
