time(s),10ms,40ms,70ms,100ms
0.022,124.5214,194.4434,217.4475,228.2788
0.0222,130.5221,200.3416,223.4648,234.3681
0.0224,136.0785,205.7911,229.0321,240.007
0.0226,141.1672,210.7687,234.1262,245.1724
0.0228,145.7669,215.2531,238.726,249.8429
0.023,149.8579,219.2248,242.8118,253.9991
0.0232,153.4229,222.6667,246.3665,257.6238
0.0234,156.4465,225.5633,249.3748,260.7017
0.0236,158.9155,227.9016,251.8235,263.2196
0.0238,160.8189,229.6707,253.7018,265.1667
0.024,162.1479,230.862,255.0011,266.5344
0.0242,162.8962,231.4691,255.7151,267.3163
0.0244,163.0595,231.488,255.8397,267.5085
0.0246,162.6362,230.9171,255.3732,267.1093
0.0248,161.6267,229.7569,254.3164,266.1192
0.025,160.0339,228.0104,252.672,264.5413
0.0252,157.8631,225.6829,250.4456,262.3809
0.0254,155.1217,222.7821,247.6446,259.6455
0.0256,151.8196,219.3177,244.279,256.3451
0.0258,147.9686,215.3019,240.3608,252.4918
0.026,143.5832,210.749,235.9044,248.0999
0.0262,138.6795,205.6753,230.9261,243.1857
0.0264,133.2759,200.0994,225.4444,237.7678
0.0266,127.3929,194.0417,219.4799,231.8666
0.0268,121.0528,187.5246,213.0548,225.5045
0.027,114.2796,180.5722,206.1935,218.7057
0.0272,107.0992,173.2105,198.9217,211.4961
0.0274,99.5391,165.4671,191.2671,203.9034
0.0276,91.6282,157.3709,183.2587,195.9564
0.0278,83.3971,148.9524,174.927,187.6858
0.028,74.8772,140.2435,166.3037,179.1232
0.0282,66.1014,131.2768,157.4217,170.3016
0.0284,57.1037,122.0865,148.3149,161.2549
0.0286,47.9187,112.7072,139.0182,152.0178
0.0288,38.5819,103.1745,129.5671,142.6259
0.029,29.1294,93.5247,119.9978,133.1155
0.0292,19.5979,83.7942,110.3469,123.5231
0.0294,10.0242,74.0201,100.6514,113.8858
0.0296,0.4454,64.2396,90.9484,104.2406
0.0298,-9.1014,54.4898,81.2751,94.6249
0.03,-18.5792,44.8078,71.6686,85.0755
0.0302,-27.9511,35.2303,62.1658,75.6294
0.0304,-37.181,25.7938,52.8029,66.3229
0.0306,-46.2329,16.534,43.6158,57.1919
0.0308,-55.0718,7.4863,34.6398,48.2716
0.031,-63.6634,-1.3152,25.9091,39.5963
0.0312,-71.9743,-9.837,17.4571,31.1993
0.0314,-79.9724,-18.0469,9.3161,23.113
0.0316,-87.6267,-25.9139,1.5171,15.3683
